"","x","y","z","xproj","yproj"
"FZ",0.00492643085127811,7.07487442073581,7.11890992636272,0.00342213969843209,4.91455362868647
"I1",-2.89918855206056,-8.81813877237116,-3.74071683280173,-3.7699810273902,-11.4667312152241
"I2",2.90430591543778,-8.81005712248203,-3.7379473588407,3.77579579592798,-11.4536752027855
"IZ",-0.000602789218765766,-9.08304306809945,-3.74137666811173,-0.00078388289792893,-11.8118272533368
"NZ",0.00988926579205472,9.54017013590613,-3.48401926950841,0.0125998793315789,12.1550977638528
"O1",-3.11735551201942,-9.55219100214077,0.339499772726383,-3.05334720378955,-9.35605694441838
"O2",3.12096744433629,-9.54162377897859,0.338401906047318,3.0570879596344,-9.34632728162916
"OZ",0.0320766997497673,-10.2360409285435,0.314167100660832,0.0314662824825314,-10.0412498128844
"P1",-2.82294426149039,-7.04356920063109,6.76454908016403,-1.99122081483067,-4.96832395677275
"P10",6.85602598478996,-4.97523177040124,-3.51847531491245,8.75898234237497,-6.35615549340752
"P2",2.82741070871948,-7.03643371678639,6.75761522874853,1.99497380324377,-4.96479018416378
"P3",-5.03002152375806,-6.38142733578957,5.28291029542966,-3.79278629306119,-4.81178659276704
"P4",5.02524665339008,-6.3680947900628,5.27338399015833,3.79086730312228,-4.80386416586077
"P5",-6.52058276070536,-5.86750348829099,2.96690306001592,-5.51097542015808,-4.95901496665699
"P6",6.51056691018495,-5.85430134517763,2.96041213769982,5.50437492634291,-4.94953357828802
"P7",-7.18650723844175,-5.47274409419484,0.251679991927408,-7.07653326595358,-5.3889955653921
"P8",7.17092598835898,-5.46251798662626,0.248963604568605,7.06235689946147,-5.37981449730605
"P9",-6.86610502129064,-4.98643745588499,-3.525594232256,-8.77678782897205,-6.37405099937069
"PO1",-1.94489865932256,-9.13473744173536,3.9400659367311,-1.56431624689481,-7.34723021311674
"PO10",5.31229754524083,-7.10408080445923,-3.62115064492961,6.84219675421501,-9.14999926265396
"PO2",1.95118340402557,-9.12772655399742,3.93703393805034,1.56960753467646,-7.34269692129515
"PO3",-3.60061811773915,-8.65101411587778,3.28829718570468,-2.99292122471318,-7.19093303317642
"PO4",3.60057197481972,-8.63789316589756,3.28285208699243,2.99371954261365,-7.18203378757654
"PO5",-4.89686778365601,-8.18389944056898,2.05880223520508,-4.34456007252992,-7.26085414553509
"PO6",4.89237106644549,-8.16850470911415,2.05584924581018,4.3412728379761,-7.24836835533031
"PO7",-5.77715247153994,-7.54717597267415,0.326422996858091,-5.66300962048659,-7.3980616491097
"PO8",5.76915998706483,-7.5321925083122,0.325874320315894,5.6553628638934,-7.38361943345535
"PO9",-5.32101291236436,-7.11566380590963,-3.62594537034266,-6.856036469307,-9.16841423994343
"POZ",-0.0012940453312452,-9.28812536325277,4.22229702369114,-0.00102643596432583,-7.36733535048243
"PZ",-0.00797747479856808,-7.19546075117965,7.31988905521613,-0.00549418089601218,-4.95559860674617
"T10",7.82777162735426,0.941958228627936,-3.49281106548043,9.98023980749087,1.2009764027216
"T7",-8.05347605225653,-0.00594958699572246,0.304761130010602,-7.90472265899708,-0.00583969391994209
"T8",8.03410178635176,-0.00717253003836747,0.303535997269586,7.886291820964,-0.00704057111565196
"T9",-7.84783507055091,0.944837095340044,-3.49461557297233,-10.007241927117,1.20481805616216
"TP10",7.94592869903736,-3.13679197558768,-3.49995022227807,10.1365847306239,-4.0015911100156
"TP7",-7.87792354638675,-3.05123948819567,0.322668577573379,-7.72402969159319,-2.9916340599414
"TP8",7.85929026759864,-3.04689180257512,0.320650752097951,7.70670187742141,-2.9877362936972
"TP9",-7.95111979375485,-3.14871102955993,-3.50272558521458,-10.1454249666194,-4.01767453146138
